,Home Team,Away Team,Game Code
0,Chaigate Lattes,Cruellas De Leederville,Chaigate Lattes vs Cruellas De Leederville
1,Perth Wildpucks,Yokine Ono,Perth Wildpucks vs Yokine Ono
2,Como Como Como Como Como Chameleons,Midland Maidens,Como Como Como Como Como Chameleons vs Midland Maidens
3,Bye Team,Ardross and the Order of the Schnips,Bye Team vs Ardross and the Order of the Schnips
4,Northbridge Viet Hoes,Fremantle Cappuccino Strippers,Northbridge Viet Hoes vs Fremantle Cappuccino Strippers
5,"Puck Bitches, Get Manning",Subi Crack Hoes,"Puck Bitches, Get Manning vs Subi Crack Hoes"
6,Willa G-Bangers,Waikiki's Delivery Service,Willa G-Bangers vs Waikiki's Delivery Service
7,Willa G-Bangers,Yokine Ono,Willa G-Bangers vs Yokine Ono
8,Ardross and the Order of the Schnips,"Puck Bitches, Get Manning","Ardross and the Order of the Schnips vs Puck Bitches, Get Manning"
9,Midland Maidens,Chaigate Lattes,Midland Maidens vs Chaigate Lattes
10,Waikiki's Delivery Service,Perth Wildpucks,Waikiki's Delivery Service vs Perth Wildpucks
11,Como Como Como Como Como Chameleons,Fremantle Cappuccino Strippers,Como Como Como Como Como Chameleons vs Fremantle Cappuccino Strippers
12,Bye Team,Subi Crack Hoes,Bye Team vs Subi Crack Hoes
13,Cruellas De Leederville,Northbridge Viet Hoes,Cruellas De Leederville vs Northbridge Viet Hoes
14,Ardross and the Order of the Schnips,Subi Crack Hoes,Ardross and the Order of the Schnips vs Subi Crack Hoes
