,Home Team,Away Team,Game Code
0,Doubleview Dingleberries,Balingup Bruisers,Doubleview Dingleberries vs Balingup Bruisers
1,Karrinyup Puck Buddies,TRIGGERED BEACH,Karrinyup Puck Buddies vs TRIGGERED BEACH
2,Rocko Rodents,Paddington Bears,Rocko Rodents vs Paddington Bears
3,Rottnest Holy Quokkamoles,GMLA Jurassic Pucks,Rottnest Holy Quokkamoles vs GMLA Jurassic Pucks
4,Hillarys Humpbacks,Bicton Passive Aggressive Lords,Hillarys Humpbacks vs Bicton Passive Aggressive Lords
5,Worship Skatan: Highgates of Hell,Cockburn Comrades,Worship Skatan: Highgates of Hell vs Cockburn Comrades
6,Shorty get chidlow low low low low low low low,North Perth King Pins,Shorty get chidlow low low low low low low low vs North Perth King Pins
7,Subi-hack-o,Carmel Clout,Subi-hack-o vs Carmel Clout
8,Maylands Muthapuckas,Triggerlypuffs,Maylands Muthapuckas vs Triggerlypuffs
9,Inglewood Bin Chickens,St Georges Terrors,Inglewood Bin Chickens vs St Georges Terrors
10,The Wizards of the Guildford,Booragoonbagz,The Wizards of the Guildford vs Booragoonbagz
11,Stoneville Sloths,Vic Park Gon' Ageev it to Ya,Stoneville Sloths vs Vic Park Gon' Ageev it to Ya
12,Mount Hawthorn Roughheads,City Beach Don't Kill My Vibe,Mount Hawthorn Roughheads vs City Beach Don't Kill My Vibe
13,Darch Vaders,Ledahosens,Darch Vaders vs Ledahosens
14,Kalamunda Hillbillies,Royal Perth Lil Yachty Club,Kalamunda Hillbillies vs Royal Perth Lil Yachty Club
15,Padbury Puck 'er Up Boys,Bayswater Barracudas,Padbury Puck 'er Up Boys vs Bayswater Barracudas
16,Bayswater Marauder Otters,Wembley Food Courts,Bayswater Marauder Otters vs Wembley Food Courts
17,Churchlands Sea Urchins,Cockburn Coneheads,Churchlands Sea Urchins vs Cockburn Coneheads
18,Aurora Morleyalis,Morley Puck Troopers,Aurora Morleyalis vs Morley Puck Troopers
19,Kalamunda Cooked-aburras,Don't Go Chasing Waterford's,Kalamunda Cooked-aburras vs Don't Go Chasing Waterford's
20,Noranda Naruto Runners,Innaloominati,Noranda Naruto Runners vs Innaloominati
21,Bob Rossmoyne,St James McHales,Bob Rossmoyne vs St James McHales
22,Maylands Before Time,Rottnest Rum Hams,Maylands Before Time vs Rottnest Rum Hams
23,RiverVale River Vixens,Kanye Westminster,RiverVale River Vixens vs Kanye Westminster
24,All Australind Adventures,Bateman Begins,All Australind Adventures vs Bateman Begins
25,Dianella Gonna Give You Up,North Perth Nighthawks,Dianella Gonna Give You Up vs North Perth Nighthawks
26,Floreat Frenchies,Chick Park,Floreat Frenchies vs Chick Park
27,East Freo Bae Blades,Kraft Singlewood,East Freo Bae Blades vs Kraft Singlewood
28,Bye Team,Belmont Poon Bears,Bye Team vs Belmont Poon Bears
29,Jeremy Clarkson,Mirrabooker T's,Jeremy Clarkson vs Mirrabooker T's
30,Scar Bros,Mirrabooka Dealers,Scar Bros vs Mirrabooka Dealers
31,CCCP,50 Shades of Graylands,CCCP vs 50 Shades of Graylands
32,Northbridge MDM8s,Myaree Mighty Moles,Northbridge MDM8s vs Myaree Mighty Moles
33,Churchlands Hellraisers,Victoria Park Bitters,Churchlands Hellraisers vs Victoria Park Bitters
34,The Uncomofos,Redcliffe Reds,The Uncomofos vs Redcliffe Reds
35,Chicken Wingthrop,Mandurah Bukkhockey,Chicken Wingthrop vs Mandurah Bukkhockey
36,Angelina Jolimont Womb Raiders,Dianella Dalai Llamas,Angelina Jolimont Womb Raiders vs Dianella Dalai Llamas
37,Belmontgomery Burns,Paris Hiltons,Belmontgomery Burns vs Paris Hiltons
38,The Fresh Prince of Beel-iar,Manning Tatum,The Fresh Prince of Beel-iar vs Manning Tatum
39,North Beach Bearded Clams,Perth Glory Holez,North Beach Bearded Clams vs Perth Glory Holez
40,North Perth Bald Beavers,Warwick and Morty,North Perth Bald Beavers vs Warwick and Morty
41,Mount Helena Meese,Mount Hawt'n'horny,Mount Helena Meese vs Mount Hawt'n'horny
42,Claremonty Pythons,Perthhub: two girls one puck,Claremonty Pythons vs Perthhub: two girls one puck
43,TrashField,Kenwick Lamars,TrashField vs Kenwick Lamars
44,Parkerville Puckman,Canning Bridge Trolls,Parkerville Puckman vs Canning Bridge Trolls
45,"South Perth Sam's Green Eggs and Ham: Creedance HarambÃ¦yswater Revival II: Electric Boogaloo: This Time, It's Personal: Battle of the Colons",Get Bentley,"South Perth Sam's Green Eggs and Ham: Creedance HarambÃ¦yswater Revival II: Electric Boogaloo: This Time, It's Personal: Battle of the Colons vs Get Bentley"
46,Rottnest Holy Quokkamoles,Mount Hawt'n'horny,Rottnest Holy Quokkamoles vs Mount Hawt'n'horny
47,Don't Go Chasing Waterford's,Padbury Puck 'er Up Boys,Don't Go Chasing Waterford's vs Padbury Puck 'er Up Boys
48,Mirrabooka Dealers,Bateman Begins,Mirrabooka Dealers vs Bateman Begins
49,Worship Skatan: Highgates of Hell,Kraft Singlewood,Worship Skatan: Highgates of Hell vs Kraft Singlewood
50,Paddington Bears,Rocko Rodents,Paddington Bears vs Rocko Rodents
51,Maylands Muthapuckas,Kanye Westminster,Maylands Muthapuckas vs Kanye Westminster
52,Hillarys Humpbacks,Bicton Passive Aggressive Lords,Hillarys Humpbacks vs Bicton Passive Aggressive Lords
53,The Wizards of the Guildford,Booragoonbagz,The Wizards of the Guildford vs Booragoonbagz
54,Redcliffe Reds,Doubleview Dingleberries,Redcliffe Reds vs Doubleview Dingleberries
55,Dianella Dalai Llamas,The Fresh Prince of Beel-iar,Dianella Dalai Llamas vs The Fresh Prince of Beel-iar
56,Scar Bros,Canning Bridge Trolls,Scar Bros vs Canning Bridge Trolls
57,Bayswater Marauder Otters,Vic Park Gon' Ageev it to Ya,Bayswater Marauder Otters vs Vic Park Gon' Ageev it to Ya
58,Inglewood Bin Chickens,Paris Hiltons,Inglewood Bin Chickens vs Paris Hiltons
59,St Georges Terrors,North Beach Bearded Clams,St Georges Terrors vs North Beach Bearded Clams
60,Royal Perth Lil Yachty Club,Mount Helena Meese,Royal Perth Lil Yachty Club vs Mount Helena Meese
61,Kenwick Lamars,TrashField,Kenwick Lamars vs TrashField
62,Victoria Park Bitters,CCCP,Victoria Park Bitters vs CCCP
63,St James McHales,The Uncomofos,St James McHales vs The Uncomofos
64,Darch Vaders,Jeremy Clarkson,Darch Vaders vs Jeremy Clarkson
65,RiverVale River Vixens,North Perth Bald Beavers,RiverVale River Vixens vs North Perth Bald Beavers
66,Stoneville Sloths,Bob Rossmoyne,Stoneville Sloths vs Bob Rossmoyne
67,Kalamunda Cooked-aburras,Bayswater Barracudas,Kalamunda Cooked-aburras vs Bayswater Barracudas
68,Carmel Clout,Perth Glory Holez,Carmel Clout vs Perth Glory Holez
69,Subi-hack-o,Kalamunda Hillbillies,Subi-hack-o vs Kalamunda Hillbillies
70,Morley Puck Troopers,Perthhub: two girls one puck,Morley Puck Troopers vs Perthhub: two girls one puck
71,Belmont Poon Bears,Bye Team,Belmont Poon Bears vs Bye Team
72,Northbridge MDM8s,Parkerville Puckman,Northbridge MDM8s vs Parkerville Puckman
73,Ledahosens,Mount Hawthorn Roughheads,Ledahosens vs Mount Hawthorn Roughheads
74,Wembley Food Courts,Aurora Morleyalis,Wembley Food Courts vs Aurora Morleyalis
75,Myaree Mighty Moles,Claremonty Pythons,Myaree Mighty Moles vs Claremonty Pythons
76,North Perth Nighthawks,Dianella Gonna Give You Up,North Perth Nighthawks vs Dianella Gonna Give You Up
77,Rottnest Rum Hams,Maylands Before Time,Rottnest Rum Hams vs Maylands Before Time
